Pose,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.,Cavity ID,Complex File,Interactions File
1,-5.409,0.0,0.0,N/A,complexes/complex_pose_1.pdb,interactions/interactions_pose_1.json
2,-5.142,2.001,2.701,N/A,complexes/complex_pose_2.pdb,interactions/interactions_pose_2.json
3,-5.013,2.136,3.822,N/A,complexes/complex_pose_3.pdb,interactions/interactions_pose_3.json
4,-4.855,2.923,4.273,N/A,complexes/complex_pose_4.pdb,interactions/interactions_pose_4.json
5,-4.849,1.086,3.239,N/A,complexes/complex_pose_5.pdb,interactions/interactions_pose_5.json
6,-4.751,2.039,3.211,N/A,complexes/complex_pose_6.pdb,interactions/interactions_pose_6.json
7,-4.533,1.977,3.649,N/A,complexes/complex_pose_7.pdb,interactions/interactions_pose_7.json
8,-4.432,2.008,3.869,N/A,complexes/complex_pose_8.pdb,interactions/interactions_pose_8.json
9,-4.303,2.686,4.267,N/A,complexes/complex_pose_9.pdb,interactions/interactions_pose_9.json
